Ai,VIKOR,VIKOR dir
$A_{1}$,0.05097281125094055,1.0
$A_{2}$,0.031737822100460424,1.0
$A_{3}$,0.019193359428789074,1.0
$A_{4}$,0.050364369417621624,1.0
$A_{5}$,0.06062462337963089,1.0
$A_{6}$,0.038898002175232524,-1.0
$A_{7}$,0.04548923413228276,1.0
$A_{8}$,0.05036035506124321,1.0
$A_{9}$,0.047230838038590815,1.0
$A_{10}$,0.05075120119579551,1.0
$A_{11}$,0.010430374081805652,-1.0
$A_{12}$,0.04401527670001929,1.0
$A_{13}$,0.02463931863006716,1.0
$A_{14}$,0.06554049455121495,1.0
$A_{15}$,0.05935936706306983,1.0
$A_{16}$,0.0640039135165281,1.0
$A_{17}$,0.1655320411313188,-1.0
$A_{18}$,0.06203461647758025,1.0
$A_{19}$,0.050288640381652795,1.0
$A_{20}$,0.02230034727632249,-1.0
$A_{21}$,0.03600720361746791,1.0
$A_{22}$,0.0,0.0
$A_{23}$,0.026349253967829705,1.0
$A_{24}$,0.025200591654594928,-1.0
$A_{25}$,0.0,0.0
$A_{26}$,0.06352074927981448,1.0
$A_{27}$,0.06480403616937586,1.0
