,VIKOR pref,VIKOR rank
$A_{1}$,0.41266137220548305,13
$A_{2}$,0.9588545545783737,26
$A_{3}$,0.38194133561134314,9
$A_{4}$,0.30320955368029184,6
$A_{5}$,0.41587923476754024,14
$A_{6}$,0.1663802230949799,2
$A_{7}$,0.2552481390000164,4
$A_{8}$,0.719719099237762,22
$A_{9}$,0.39512740284621034,10
$A_{10}$,0.3773389752008037,8
$A_{11}$,0.7623202048265686,24
$A_{12}$,0.6342497949290531,21
$A_{13}$,0.4113055649806009,12
$A_{14}$,0.8827753028357431,25
$A_{15}$,0.4937022284011873,18
$A_{16}$,0.42140678913785434,15
$A_{17}$,0.24609141264492762,3
$A_{18}$,0.4615659536046436,17
$A_{19}$,0.3757019883438064,7
$A_{20}$,0.7334176191230563,23
$A_{21}$,0.4501299258866931,16
$A_{22}$,1.0,27
$A_{23}$,0.40186678261399855,11
$A_{24}$,0.6058090374697955,20
$A_{25}$,0.0,1
$A_{26}$,0.2639996340797249,5
$A_{27}$,0.504383272153624,19
